Graph Title:,Word Use Over Time in Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-Axis Label:,Popularity (References in Period),,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPS:,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Static Frames:,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition Frames:,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values to right of Bar?,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Bars to display:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years,1874-1879,1879-1884,1884-1889,1889-1894,1894-1899,1899-1904,1904-1909,1909-1914,1914-1919,1919-1924,1924-1929,1929-1934,1934-1939,1939-1944,1944-1949,1949-1954,1954-1959,1959-1964,1964-1969,1969-1974,1974-1979,1979-1984,1984-1989,1989-1994,1994-1999,1999-2004,2004-2009,2009-2014,2014-2019
cell,0,0,0,0,0,0,0,0,0,0,0,0,41,41,90,123,272,642,797,601,1118,714,504,345,246,237,336,334,287
human,0,0,0,0,0,0,0,0,0,0,0,0,0,37,60,81,147,411,519,337,449,404,343,188,134,120,112,144,140
c,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
influence,0,0,0,0,0,0,0,0,0,0,0,0,0,33,65,74,106,192,0,0,0,0,0,0,0,0,0,0,0
reaction,0,0,0,0,0,0,0,0,0,0,0,0,0,29,68,84,107,168,0,0,0,0,0,0,0,0,0,0,0
metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
properties,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,110,122,223,289,154,174,99,0,0,0,0,0,0,0
electron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,67,99,205,201,0,0,0,0,0,0,0,0,0,0
compounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,68,0,0,0,0,0,0,0,0,0,0,0,0,0
paper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,122,0,0,0,0,0,0,0,0,0,0,0,0
chromatography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,127,161,0,0,0,0,0,0,0,0,0,0,0
acids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,163,0,0,0,0,0,0,0,0,0,0,0
virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,138,243,272,150,191,157,121,0,0,0,0,0,0
blood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,132,269,244,0,0,0,0,0,0,0,0,0,0
rat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,357,369,166,232,149,0,0,0,0,0,0,0
tissue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,209,178,0,0,0,0,0,0,0,0,0,0
rats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,227,220,122,0,0,0,0,0,0,0,0,0
liver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,207,169,0,0,0,0,0,0,0,0,0,0
serum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,224,216,0,0,0,0,0,0,0,0,0,0
mice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,291,156,172,0,0,105,165,60,0,0,0
system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,80,0,0,0,0,0,44
inhibition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,259,144,141,0,0,0,0,0,0,0,0
vitro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,232,153,177,102,0,0,0,0,0,0,0
muscle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,166,119,0,0,0,0,0,0,0
induced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,118,0,0,0,0,0,0,0,0,0
after,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,103,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,113,199,182,299,367,272,179,133,101,63
mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,135,202,147,100,0,0,0,0,0,0
response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,97,118,0,0,0,0,62,57,53,0
dna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,264,210,188,121,112,136,116,90,79
possible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,126,0,0,0,0,0,0,0,0
sciences:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0
rna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,140,0,0,0,0,0,68,71,53
brain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,135,0,0,0,0,0,0,0,0
changes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0
membrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,103,0,0,0,0,0,0,0
receptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,110,78,0,75,0,0,0,0
